PARENT_SAMPLE_NAME,GASTROCNEMIUS,MouseID,avg_dVO2,max_dVO2,AUC,max_VO2,avg_VO2
UCAM-55688,Red,VR11,323.5972,572.6666667,51685.33333,5149.666667,4850.263889
UCAM-55724,Red,VR42,173.2722,526.6666667,31194,4967.333333,4449.938889
UCAM-55694,Red,VR60,411.7764,503.3333333,53553.33333,5058.333333,4875.219444
UCAM-55730,Red,VR72,408.0389,643.6666667,60731.66667,5556.333333,5322.058824
UCAM-55700,Red,VR83,82.33889,443,18016.33333,5639.333333,5278.672222
UCAM-55736,Red,VR94,353.9625,573.6666667,41433,6394,5954.591667
UCAM-55739,Red,HR102,490.0694,801.3333333,61301,5957,5645.736111
UCAM-55692,Red,HR40,710.7083,1294.333333,98565,5034.333333,4450.708333
UCAM-55728,Red,HR52,383.0028,778,46061.66667,5255,4860.002778
UCAM-55698,Red,HR70,660.8556,1062.333333,94064.33333,5550.666667,5249.188889
UCAM-55734,Red,HR81,459.975,899.3333333,64351,5444,5204.641667
UCAM-55704,Red,HR92,400.2056,846.3333333,67846.66667,5055.333333,4495.872222
UCAM-55738,Red,GR101,901.025,1123.666667,128928,5837.333333,5614.691667
UCAM-55690,Red,GR30,387.275,575.6666667,55279,4691.666667,4503.275
UCAM-55726,Red,GR50,602.2944,782.3333333,90746.66667,5230.666667,5050.627778
UCAM-55696,Red,GR62,756.9194,946.3333333,106782.6667,5101.333333,4911.919444
UCAM-55732,Red,GR74,860.1611,1108,126517.6667,5622.333333,5374.494444
UCAM-55702,Red,GR90,272.4694,692.3333333,43915.66667,5383.333333,4963.469444
UCAM-55691,Red,GS32,-87.93194444,-87.93194444,0,4529,4529
UCAM-55727,Red,GS51,-87.93194444,-87.93194444,0,4391.333333,4391.333333
UCAM-55697,Red,GS63,-87.93194444,-87.93194444,0,3446.916667,3446.916667
UCAM-55733,Red,GS80,-87.93194444,-87.93194444,0,5085.416667,5085.416667
UCAM-55703,Red,GS91,-87.93194444,-87.93194444,0,4434.916667,4434.916667
UCAM-55741,Red,GS104,-87.93194444,-87.93194444,0,4377.516667,4377.516667
UCAM-55693,Red,HS41,77.85486111,77.85486111,0,4475.75,4475.75
UCAM-55729,Red,HS53,77.85486111,77.85486111,0,4109.166667,4109.166667
UCAM-55699,Red,HS71,77.85486111,77.85486111,0,5046.875,5046.875
UCAM-55735,Red,HS82,77.85486111,77.85486111,0,4960.958333,4960.958333
UCAM-55705,Red,HS93,77.85486111,77.85486111,0,4551.791667,4551.791667
UCAM-55740,Red,HS103,77.85486111,77.85486111,0,4947,4947
UCAM-55689,Red,VS23,0,0,0,4405.958333,4405.958333
UCAM-55725,Red,VS43,0,0,0,4057.291667,4057.291667
UCAM-55695,Red,VS61,0,0,0,3863.166667,3863.166667
UCAM-55731,Red,VS73,0,0,0,5040.875,5040.875
UCAM-55701,Red,VS84,0,0,0,4339.333333,4339.333333
UCAM-55737,Red,VS100,0,0,0,4341.325,4341.325
UCAM-55706,White,VR11,323.5972,572.6666667,51685.33333,5149.666667,4850.263889
UCAM-55742,White,VR42,173.2722,526.6666667,31194,4567.333333,4149.938889
UCAM-55712,White,VR60,411.7764,503.3333333,53553.33333,5058.333333,4875.219444
UCAM-55748,White,VR72,408.0389,643.6666667,60731.66667,5556.333333,5322.058824
UCAM-55718,White,VR83,82.33889,443,18016.33333,5639.333333,5278.672222
UCAM-55754,White,VR94,353.9625,573.6666667,41433,6394,5954.591667
UCAM-55757,White,HR102,490.0694,801.3333333,61301,5957,5645.736111
UCAM-55710,White,HR40,710.7083,1294.333333,98565,5034.333333,4450.708333
UCAM-55746,White,HR52,383.0028,778,46061.66667,5255,4860.002778
UCAM-55716,White,HR70,660.8556,962.3333333,94064.33333,5550.666667,5249.188889
UCAM-55752,White,HR81,459.975,699.3333333,64351,5444,5204.641667
UCAM-55722,White,HR92,400.2056,646.3333333,67846.66667,5055.333333,4495.872222
UCAM-55756,White,GR101,901.025,1123.666667,128928,5837.333333,5614.691667
UCAM-55708,White,GR30,387.275,575.6666667,55279,4691.666667,4503.275
UCAM-55744,White,GR50,602.2944,782.3333333,90746.66667,5230.666667,5050.627778
UCAM-55714,White,GR62,756.9194,946.3333333,106782.6667,5101.333333,4911.919444
UCAM-55750,White,GR74,860.1611,1108,126517.6667,5622.333333,5374.494444
UCAM-55720,White,GR90,272.4694,692.3333333,43915.66667,5383.333333,4963.469444
UCAM-55709,White,GS32,-87.93194444,-87.93194444,0,4529,4529
UCAM-55745,White,GS51,-87.93194444,-87.93194444,0,4391.333333,4391.333333
UCAM-55715,White,GS63,-87.93194444,-87.93194444,0,3446.916667,3446.916667
UCAM-55751,White,GS80,-87.93194444,-87.93194444,0,5085.416667,5085.416667
UCAM-55721,White,GS91,-87.93194444,-87.93194444,0,4434.916667,4434.916667
UCAM-55759,White,GS104,-87.93194444,-87.93194444,0,4377.516667,4377.516667
UCAM-55711,White,HS41,77.85486111,77.85486111,0,4475.75,4475.75
UCAM-55747,White,HS53,77.85486111,77.85486111,0,4109.166667,4109.166667
UCAM-55717,White,HS71,77.85486111,77.85486111,0,5046.875,5046.875
UCAM-55753,White,HS82,77.85486111,77.85486111,0,4960.958333,4960.958333
UCAM-55723,White,HS93,77.85486111,77.85486111,0,4551.791667,4551.791667
UCAM-55758,White,HS103,77.85486111,77.85486111,0,4947,4947
UCAM-55707,White,VS23,0,0,0,4405.958333,4405.958333
UCAM-55743,White,VS43,0,0,0,4057.291667,4057.291667
UCAM-55713,White,VS61,0,0,0,3863.166667,3863.166667
UCAM-55749,White,VS73,0,0,0,5040.875,5040.875
UCAM-55719,White,VS84,0,0,0,4339.333333,4339.333333
UCAM-55755,White,VS100,0,0,0,4341.325,4341.325
UCAM-55652,Serum,VR11,323.5972,572.6666667,51685.33333,5149.666667,4850.263889
UCAM-55658,Serum,VR42,173.2722,526.6666667,31194,4567.333333,4149.938889
UCAM-55664,Serum,VR60,411.7764,503.3333333,53553.33333,5058.333333,4875.219444
UCAM-55670,Serum,VR72,408.0389,643.6666667,60731.66667,5556.333333,5322.058824
UCAM-55676,Serum,VR83,82.33889,443,18016.33333,5639.333333,5278.672222
UCAM-55682,Serum,VR94,353.9625,573.6666667,41433,6394,5954.591667
UCAM-55685,Serum,HR102,490.0694,801.3333333,61301,5957,5645.736111
UCAM-55656,Serum,HR40,710.7083,1294.333333,98565,5034.333333,4450.708333
UCAM-55662,Serum,HR52,383.0028,778,46061.66667,5255,4860.002778
UCAM-55668,Serum,HR70,660.8556,962.3333333,94064.33333,5550.666667,5249.188889
UCAM-55674,Serum,HR81,459.975,699.3333333,64351,5444,5204.641667
UCAM-55680,Serum,HR92,400.2056,646.3333333,67846.66667,5055.333333,4495.872222
UCAM-55684,Serum,GR101,901.025,1123.666667,128928,5837.333333,5614.691667
UCAM-55654,Serum,GR30,387.275,575.6666667,55279,4691.666667,4503.275
UCAM-55660,Serum,GR50,602.2944,782.3333333,90746.66667,5230.666667,5050.627778
UCAM-55666,Serum,GR62,756.9194,946.3333333,106782.6667,5101.333333,4911.919444
UCAM-55672,Serum,GR74,860.1611,1108,126517.6667,5622.333333,5374.494444
UCAM-55678,Serum,GR90,272.4694,692.3333333,43915.66667,5383.333333,4963.469444
UCAM-55655,Serum,GS32,-87.93194444,-87.93194444,0,4529,4529
UCAM-55661,Serum,GS51,-87.93194444,-87.93194444,0,4391.333333,4391.333333
UCAM-55667,Serum,GS63,-87.93194444,-87.93194444,0,3446.916667,3446.916667
UCAM-55673,Serum,GS80,-87.93194444,-87.93194444,0,5085.416667,5085.416667
UCAM-55679,Serum,GS91,-87.93194444,-87.93194444,0,4434.916667,4434.916667
UCAM-55687,Serum,GS104,-87.93194444,-87.93194444,0,4377.516667,4377.516667
UCAM-55657,Serum,HS41,77.85486111,77.85486111,0,4475.75,4475.75
UCAM-55663,Serum,HS53,77.85486111,77.85486111,0,4109.166667,4109.166667
UCAM-55669,Serum,HS71,77.85486111,77.85486111,0,5046.875,5046.875
UCAM-55675,Serum,HS82,77.85486111,77.85486111,0,4960.958333,4960.958333
UCAM-55681,Serum,HS93,77.85486111,77.85486111,0,4551.791667,4551.791667
UCAM-55686,Serum,HS103,77.85486111,77.85486111,0,4947,4947
UCAM-55653,Serum,VS23,0,0,0,4405.958333,4405.958333
UCAM-55659,Serum,VS43,0,0,0,4057.291667,4057.291667
UCAM-55665,Serum,VS61,0,0,0,3863.166667,3863.166667
UCAM-55671,Serum,VS73,0,0,0,5040.875,5040.875
UCAM-55677,Serum,VS84,0,0,0,4339.333333,4339.333333
UCAM-55683,Serum,VS100,0,0,0,4341.325,4341.325