MouseID,alphaketoglutarate,hydroxyisobutyrate,hydroxymethylglutarate,phosphoglycerate,hypoxanthine,succinate,hydroxybutyrateBHBA,dihydroxyacetonephosphateDHAP,fumarate,isoleucine,leucine,malate,lactate,valine,glucose,malonate,pyruvate,Nacetylleucine,citrate,methylsuccinate,ethylmalonate,carnitine,methyloxovalerate,methyloxopentanoate,alphahydroxyisocaproate,acetylcarnitineC,methyloxobutyrate,butyrylcarnitineC,isobutyrylcarnitineC,butyrylglycineC,propionylcarnitineC,Nacetylisoleucine,alphahydroxyisovalerate,aconitatecisortrans,isovalerylcarnitineC,isovalerylglycine,methylbutyrylcarnitineC,malonylcarnitine,hydroxymethylvalerate,betahydroxyisovaleroylcarnitine,tiglylcarnitineC,deoxycarnitine,succinylcarnitineCDC,hydroxyglutarate,methylglutaconate,hydroxybutyratehydroxyisobutyrate,dihydroxymethylbutyrate,Group,Tx,Ex,avg_dVO2,max_dVO2,AUC,max_VO2,avg_VO2
VS100,-0.287490813,-0.547861454,-1.209996303,1.864438582,-0.428768493,0.378264684,-0.876012994,-3.598938515,1.490398614,-1.266166055,-0.107637602,2.064859017,-1.863489577,1.670059735,0.002970476,0.372509065,-2.171575835,-0.911107896,-0.136827476,1.877864894,-0.986824892,2.730050298,-0.543193836,-0.722323324,-0.646856631,0.204188301,-1.107579252,-3.33138224,-1.409070337,-0.987767317,0.886782688,-0.978720752,-2.72863775,0.400594662,-1.789129744,-0.236936017,-2.283857543,2.702270786,-1.562012364,0.851057603,-1.236419849,0.595511535,2.595770745,2.15846835,-0.587771241,-1.68242207,1.462712593,VS,V,S,-0.818040707,-0.904623697,-0.845067592,-0.930432641,-0.794508099
VS23,-0.543263495,-1.376643745,0.858478837,-0.138596381,0.960910446,-0.731188924,-1.742481783,-0.52547592,0.478741991,1.147506041,1.354688204,0.610594563,0.470555785,0.807469633,0.565136503,0.195660117,-0.057632804,-0.047195003,0.040200584,0.160044572,0.525926414,-0.096885181,-0.543193836,-0.722323324,-0.401246504,0.202481696,-1.107579252,0.555443353,-0.494390328,-0.401826346,-1.164499458,-0.978720752,0.352779799,-0.271755805,-0.009653507,0.554962524,-0.236318804,-0.381447589,-0.424837167,0.200869563,-0.792523743,-0.437172871,-0.550775945,-2.170975923,-2.240185535,-0.687828871,-0.025285846,VS,V,S,-0.818040707,-0.904623697,-0.845067592,-0.82624036,-0.671035698
VS43,-0.691173445,-0.454323362,-0.463766077,1.724999762,-1.388248522,0.657834526,-1.127519204,-0.473734832,-0.16905292,0.335946298,0.84204531,1.049369755,1.046923495,-0.117469671,1.152765392,-0.192733311,1.251435701,-0.299938621,-0.860221442,0.777035545,-0.090525376,1.251877483,-0.158963525,1.05215531,-0.646856631,-0.685964967,0.604153393,0.605071841,-1.312910326,-0.987767317,-0.702586789,-0.978720752,-0.333535225,-0.821978794,-1.789129744,-0.316600688,-1.304427615,0.228723768,-1.562012364,-0.636090118,-0.567266082,0.450702687,0.836295404,0.285430496,0.473711804,-0.751419317,0.841504911,VS,V,S,-0.818040707,-0.904623697,-0.845067592,-1.388309088,-1.337111676
VS61,-0.901171308,-0.807091731,-1.864526762,-0.577633379,1.046402727,-1.077269176,-0.592165713,-0.672953302,-0.067500744,0.645918689,0.526404216,0.069235757,0.794095858,0.024661261,0.748553647,-0.547024809,-0.128714264,0.638658202,-1.53354316,-0.377136585,-0.991449252,-0.762275712,-0.543193836,-0.722323324,0.016595609,-0.600550519,-1.107579252,0.769975689,-1.437337024,-0.987767317,-1.522506716,0.774667133,1.124394717,-1.816196035,-1.089442422,-0.300397737,-0.716390719,0.46947421,0.363534088,-1.073450682,-1.092429075,-0.77769138,-0.637181196,-1.038373888,-2.240185535,-1.095685846,0.011980197,VS,V,S,-0.818040707,-0.904623697,-0.845067592,-1.701248644,-1.707958711
VS73,-1.468004722,-1.376643745,-1.116998768,-0.531877179,-0.233121704,-0.231311275,-1.742481783,0.305984455,0.130679272,0.391489444,0.573391136,-0.07989667,0.661772446,0.678149553,0.650628769,-1.841970583,-0.53332539,0.181006562,0.578601752,-1.168085651,-2.29183912,0.147073382,-0.543193836,-0.722323324,1.752615919,-0.143599948,-1.107579252,0.741026389,-0.81268934,-0.182014769,-1.781194096,-0.5709732,1.266730055,-0.026570975,-0.125874402,0.729577425,-0.368454096,0.331865397,1.305430654,0.312847863,-1.085659208,0.589294194,0.554025215,-0.776031303,-0.850429932,-0.352993616,0.445079764,VS,V,S,-0.818040707,-0.904623697,-0.845067592,0.197278198,0.541878473
VS84,2.179370754,0.632821476,1.185893516,-0.997730886,-0.73351964,-1.675089695,0.818665094,-0.207257186,-0.927647358,-1.432172693,-1.404275233,0.09234977,1.537660696,-1.402040132,1.241426638,0.835771898,2.239301765,-1.661854704,-1.093542121,-0.074166449,1.168765364,0.188524234,0.905545061,0.830113638,0.51620784,-1.515400479,0.796784411,0.779330833,-0.444417761,-0.217454558,-0.781349768,-0.978720752,-0.542392051,-0.754745295,0.069146907,-2.232138,-0.140032384,-1.341241701,0.478168475,-0.950778135,-0.033507081,-1.811387223,-0.08345748,0.069860508,0.586391134,0.309968006,0.708494104,VS,V,S,-0.818040707,-0.904623697,-0.845067592,-0.933643311,-0.798312884
HS103,0.600190034,-1.214819954,-0.551370016,-0.84367747,-0.963951181,0.436237652,0.135860697,0.512509582,0.473853594,-1.072915975,-0.983082637,0.697291406,0.667035624,-0.781557057,0.655326393,0.715869503,-0.457886057,-0.720982393,1.473052394,0.31143488,0.604724453,1.584975569,-0.543193836,-0.722323324,-0.646856631,-0.640765972,-0.49944777,-0.614646685,-1.191281704,0.068408547,-0.176258491,-0.978720752,-0.040922983,0.975136663,-1.789129744,-1.204631979,-0.866228207,0.02027855,-1.562012364,0.391542298,-0.678739812,0.188403401,0.923330684,-0.467468864,-0.149831951,-0.283107529,0.415394747,HS,H,S,-0.550738094,-0.720617665,-0.845067592,0.045946835,0.362544202
HS41,-0.047370558,-0.238909245,-0.805163315,0.842175581,1.109682921,-0.437752805,-0.661609381,-0.648057987,1.527040219,0.634924074,0.940911603,1.241043906,0.1136423,0.224360017,0.264309236,1.03023583,0.973656134,-0.992563939,-0.3225593,1.255825473,1.499696554,0.354211473,-0.543193836,-0.722323324,1.01029385,1.977025599,-1.107579252,0.662001364,0.575594124,-0.987767317,0.824635013,-0.978720752,1.592735171,-0.108085569,0.263224246,-0.674874843,0.531569367,1.244336931,0.799924542,0.977498474,0.761576749,1.361142526,0.627575674,1.22442814,0.484252243,-1.136796449,-1.84506877,HS,H,S,-0.550738094,-0.720617665,-0.845067592,-0.713732577,-0.537709064
HS53,0.330313153,0.17067404,-1.131152099,1.07326224,-1.283483087,0.342663317,0.162531009,0.243682844,0.586281201,-0.380886333,-0.286854867,0.409210523,0.797437609,-1.332751884,0.719853973,0.387313318,0.923753312,-0.837027868,-0.090778606,-1.054164372,-1.876298794,-0.230379993,0.627376683,0.81713878,1.206935177,-1.140769282,0.289681798,0.308997368,-1.043086114,-0.987767317,-1.571336463,-0.978720752,-0.493586521,-0.901007022,-1.428081878,-2.232138,-0.510917376,-0.380165451,-1.562012364,-1.371694618,-1.616234259,-1.061475987,-0.601922763,-1.243504019,-2.240185535,1.14296034,0.038305801,HS,H,S,-0.550738094,-0.720617665,-0.845067592,-1.3046839,-1.238012179
HS71,0.436486043,-1.376643745,-0.348942647,-2.097269522,-0.587826894,-0.232074253,0.664099567,0.06991428,-0.661568031,-1.250803637,-1.155459876,-0.805033382,0.648846063,-1.342054595,0.748976541,0.951886989,-0.930835004,-1.222162939,0.898931344,0.335729489,-0.07555189,-0.565171739,-0.543193836,-0.722323324,-0.646856631,-0.245998876,0.161972156,0.051108684,-0.651484108,0.037506358,0.144610573,-0.978720752,-0.570174011,0.711149064,-0.906604981,0.342082719,-0.597109891,-0.961977111,-1.562012364,-1.337777757,-1.259448755,-0.552411645,-1.001312513,-0.561403013,0.184845701,-1.150213089,-1.84506877,HS,H,S,-0.550738094,-0.720617665,-0.845067592,0.206950509,0.553340583
HS82,0.206206675,0.057394986,0.900069393,-0.107870245,-1.102794255,-0.429795976,0.243735582,0.270099273,-0.65994993,0.028958098,0.008162689,-0.30494725,1.143440371,-0.478838779,0.812601722,0.010726717,0.287144193,-1.033031345,0.566974246,-0.486453297,-1.333031806,0.056474929,-0.543193836,0.109633014,-0.646856631,-0.820900458,-0.240761795,0.357643516,0.417389202,-0.155378146,-0.779087007,-0.978720752,-0.063088729,0.282932444,-0.012418786,-1.275636833,0.33806406,-0.579209025,0.85378612,0.412252127,0.024500181,0.777259568,-0.073359267,-0.451937979,0.330186509,-0.353537389,-1.50753054,HS,H,S,-0.550738094,-0.720617665,-0.845067592,0.068448391,0.389209528
HS93,1.385555056,-0.506638714,0.372981043,-0.744270629,-1.521629477,0.232588146,-1.08401101,0.602305888,-1.74005109,-1.50423896,-1.361049197,-1.437925215,0.869761681,-1.460960303,1.085919466,0.616897406,1.208287624,-0.946367921,1.198667357,0.216889947,-0.847122356,-0.226192002,2.73914262,2.963549136,1.656905045,-0.920029725,1.694127239,0.266453877,-1.145865728,-0.096969107,-0.657142815,0.377235018,0.253096769,0.901975045,-0.44122593,0.440183623,-1.081919798,-1.716333236,0.973783879,-1.001890724,-1.281348318,-1.008113523,-1.496786178,-0.364624733,-0.938876058,-0.868209666,-0.067830959,HS,H,S,-0.550738094,-0.720617665,-0.845067592,-0.591149471,-0.392442732
VR11,-1.826174214,-0.276181048,-0.635140204,1.521122738,1.706763904,-0.076181761,-0.137822679,-0.155031159,1.36814162,1.060958049,1.297761512,1.077488405,-0.332831043,0.912447313,-0.958466256,0.572387256,-0.325570677,0.125553341,-1.798068449,0.69167412,0.858669407,0.267418207,-0.917004607,-0.745941866,0.071136906,1.411485825,-0.757939657,-0.112811625,0.177591912,-0.12867058,1.028717532,0.993566418,-0.046666546,-1.108415275,0.629064578,-0.046914754,0.676158329,0.459254349,0.32334393,0.725843929,0.544804989,0.207872065,0.255784551,-0.109873749,0.99403119,-0.617765495,1.358193221,VR,V,R,0.292980183,0.448845046,0.42199753,0.372656001,0.177744202
VR42,1.147599829,1.356571587,0.569803476,1.273528805,1.057449667,0.545546954,1.047499134,-1.315075556,1.898076191,0.67395727,0.744305873,1.592950955,-0.642916279,0.345773472,-0.816867919,2.747325753,1.889441784,1.007631308,-0.881788213,2.065324743,1.836935145,1.339367138,-0.917004607,-0.745941866,-1.07701624,2.761819689,-0.757939657,0.609625644,1.681434187,0.652911725,2.418229182,1.217893045,0.720569611,-0.92319116,1.351780406,1.196852566,1.57845209,2.456916019,-1.299696038,2.909970378,2.130482261,2.942437271,2.094134284,2.365801534,0.963850647,1.01838406,1.716130591,VR,V,R,-0.223137433,0.340126369,-0.080347179,0.078725221,-0.587017366
VR60,0.489359931,-1.101803757,1.899007576,-0.374624096,0.20626901,-0.334345388,-0.995647155,0.466237659,0.526489725,-0.697483333,-0.930569984,-0.076771271,0.01952976,-0.720161432,0.106064008,-0.693913788,0.288215305,0.118247802,0.340279056,-1.418837027,-0.438021251,-0.602905162,-0.917004607,-0.745941866,2.175460454,0.008939635,-0.563893255,-0.285935428,-0.213324748,-0.690892272,0.548834064,-0.255931288,0.781599242,0.775473395,0.245172869,0.016450842,-0.48575812,-0.853409314,1.197439776,-0.868395815,0.066656647,0.405459,-1.273776078,-0.307643402,0.755588438,0.473637348,-0.601991262,VR,V,R,0.595729815,0.284979214,0.467791521,0.225421935,0.22541809
VR72,-0.653389931,2.157350449,-0.39521857,0.599774824,1.620347166,0.309557248,1.832715195,1.008885627,-0.801657639,2.181712413,1.8749757,-1.758939065,-2.661854315,2.081627666,-2.729657633,-0.697370406,-1.400579266,1.215769496,-0.872995435,-0.045354311,0.021335508,-2.089409216,0.876147024,0.362524553,1.441031754,-0.59676029,1.076300488,-0.177409732,2.095008374,0.371649575,0.268303431,1.707146406,-0.534168805,-0.397872041,1.890012623,1.248100166,2.333857875,-0.270154859,0.721897572,-0.209301834,1.706023313,-0.470380822,-1.07865228,-0.365634693,1.037386838,2.670733815,-0.459714749,VR,V,R,0.582897687,0.61664996,0.643768248,1.028223733,1.079038485
VR83,2.01102641,1.213795276,1.403708449,-1.243140108,0.60241749,-0.51425842,1.188629686,0.551876884,-0.490730622,-0.656866279,-0.961937445,0.012578028,0.229343023,-0.358071328,0.438764807,-0.823274691,0.403589555,0.779326515,1.70840102,-0.150971812,0.526648192,-0.189994798,0.394841127,0.506682085,-1.07701624,0.008128675,0.55851169,0.646427892,0.799089786,0.969595075,0.302239979,0.28480417,0.967488682,1.285629204,0.906441563,0.313864502,0.550812091,-0.187027124,-0.200070646,1.565446587,1.205082221,0.808517092,0.50393381,0.547316794,0.705439005,0.831951119,0.400456673,VR,V,R,-0.535342875,0.142384428,-0.403397467,1.162024033,0.996154814
VR94,-0.979955594,0.357036609,1.004591791,-1.253170997,-1.551862843,-0.770314968,-1.252051101,-0.953944947,-2.359374516,1.463848395,1.230785777,-1.702139152,0.458449463,1.558109533,0.725541634,-0.925165503,-0.906880769,2.736923725,1.142846358,0.090031224,0.35268596,0.736749276,0.32500646,0.731485558,-1.07701624,-0.298577119,0.417768296,-1.992159045,-0.129140152,3.727801388,-0.917360024,2.172090769,0.280199671,0.653609494,0.021012139,1.308020464,-0.995032891,-0.32629286,0.71265955,0.713028501,-0.022542724,0.290074035,1.076265065,0.301436201,0.785453458,1.660261367,-0.779739947,VR,V,R,0.397234739,0.451208495,0.170661742,2.378585794,2.287398714
HR102,-0.954592892,0.706997034,1.362973963,-0.211882701,-0.025015724,-0.040158616,0.002795816,0.532690958,-0.513563539,0.00870974,-0.581570333,-0.857007294,-1.503784524,0.187867668,-1.290733976,-1.467967731,-0.306427223,1.108779823,0.808231695,-0.614474555,-0.493401193,-0.349484201,0.647122199,-0.745941866,0.21575353,0.043218116,1.606643544,-1.552719428,0.47339348,1.210168135,0.936941847,0.363233313,-1.021194258,0.796190493,0.370623403,1.16048607,0.279943426,-0.015064814,0.390831468,0.057327668,0.102139121,-0.246695298,0.082163113,0.650340932,0.933007388,0.937174776,-1.040593896,HR,H,R,0.86453671,0.989287163,0.657725445,1.674119156,1.697375959
HR40,-0.604047923,0.67996313,-0.54574967,-0.015442197,1.147124969,-0.200900984,0.892882995,0.376714847,0.293651735,0.513749958,0.096933965,0.231861894,-0.176315681,-0.075794276,-1.06604224,1.247487772,-0.578749131,0.45035221,0.735921794,-0.719849444,0.459526837,-0.791537558,-0.917004607,-0.745941866,-1.07701624,0.881048958,-0.757939657,0.866486577,0.594083451,0.19519549,0.48612529,0.719499544,-1.707286762,1.236873441,0.941664879,-0.019410362,0.797609495,-0.287467261,-0.943191358,-0.248187146,0.816530935,-1.819414479,-0.375393375,-1.144007049,0.153851974,-0.390560322,1.219453181,HR,H,R,1.622066215,2.154467762,1.571251811,0.186732692,-0.585547457
HR52,-0.115386634,1.2988133,-0.429474042,-0.040942752,0.323592251,0.196994437,0.5105905,0.38721107,0.713281458,1.117853935,1.054176445,0.124840676,0.125687669,1.152025498,-0.147123578,0.039695449,-0.600468875,0.11646725,-0.690172621,0.33787983,0.536790904,0.15438327,-0.917004607,-0.745941866,-1.07701624,0.855345465,-0.757939657,0.545430771,1.258707382,-0.690892272,1.087574173,-0.255931288,1.519584041,-1.036118011,0.977049845,-0.258615074,1.222650718,0.669068118,0.389170763,0.562599092,1.405655986,0.259260254,-0.151498848,0.767570833,0.116550448,-0.271042807,1.064716426,HR,H,R,0.496940114,0.934140008,0.284133432,0.54245879,0.196348906
HR70,0.018801305,1.155000598,-0.309811084,0.715262212,0.628817663,-0.181247108,0.615231555,1.351889509,-0.863751447,-0.026311053,-0.299984421,-1.524298345,-1.011660302,0.175766693,-1.37997245,-0.872481804,-0.107683923,1.257134839,0.59943943,-2.659556363,-0.306421583,-1.539572572,2.139142367,1.614710038,-0.147731641,-0.088994089,2.096554005,-0.146239345,1.276775972,0.595412076,0.623774579,1.7930493,0.584351875,1.737397523,0.93704826,1.677147323,1.046939121,-0.667288204,0.565645773,-0.551957727,0.534395762,0.119049287,-0.932643556,-0.193367399,0.041238999,0.691839774,-0.520374859,HR,H,R,1.450904688,1.606147479,1.460918039,1.019088774,0.939831277
HR81,0.893494587,-1.101803757,-0.927066693,-0.513778879,-0.551981673,4.066933644,1.608948544,1.393056423,-0.161627159,-0.779165343,-1.035751066,-0.086709987,-0.809578853,-0.535998148,-1.37448951,-1.107280242,-0.398128761,-0.540530382,-1.83426696,0.506757663,0.488048589,-0.592637028,1.352218314,1.289864218,-0.220194855,-1.268393111,1.329200343,0.894820504,0.779609527,0.365178537,0.273378308,-0.255931288,-0.760734321,-2.138132636,0.725995273,0.073734283,0.402960281,-0.547756213,1.069483188,-0.353766317,0.352606146,0.0806741,-0.926773669,0.314843278,0.660441011,0.047037348,-1.040593896,HR,H,R,0.761212246,1.220905213,0.732496147,0.847136581,0.854730413
HR92,-0.626382248,0.592945772,1.176868206,0.077342675,-0.037574722,-0.234731257,0.487617426,0.477410107,-0.070160624,-1.138522743,-1.436369772,-0.640007025,-0.581751271,-1.212620438,-0.155485645,-0.554584207,-0.560367394,-0.52308806,0.023216753,0.142557485,0.850734188,-0.774660096,-0.917004607,-0.745941866,-0.674398729,0.613022876,-0.757939657,-0.446540775,0.156320273,-0.690892272,0.223174968,-0.255931288,-0.601141673,0.54710719,0.052454146,-0.263168221,-0.172569409,-0.067353367,0.532757253,-1.076993211,0.015664593,-0.890913786,-0.365745398,0.509348948,0.041238999,-0.142365486,0.051371285,HR,H,R,0.556003264,1.09564239,0.818192359,0.22058578,-0.499268542