,Metabolite,p_value,AIC,VS,VS_SDev,HS,HS_SDev,VR,VR_SDev,HR,HR_SDev
0,alphaketoglutarate,0.31244066715859836,72.38217968192947,-0.17376206797489993,0.06547390408517624,0.37370329691824705,0.059758330432193904,-0.08011569854658317,0.6333442926296419,-0.11982553039676237,0.6174452708680438
1,hydroxyisobutyrate,0.6376803694512394,62.249747518383415,-0.7922370483833839,0.08962391084995616,-0.5490606021831863,0.08180015158756596,0.5943955131639528,0.23673880997107508,0.7469021374026316,0.2049584862913181
2,hydroxymethylglutarate,0.4939370227965283,71.84680292921753,-0.39046312102313124,0.20409702668383228,-0.3052857453111881,0.1862802857293204,0.5964359477074209,0.3555128803958971,0.09931291862689673,0.4075836573136497
3,phosphoglycerate,0.26127228711475137,69.97103704971487,0.2985191776139937,0.4665644677055518,-0.3875274319142658,0.42583551444859563,0.012662770060851794,0.5870057378598361,0.07634548423943281,0.5851843831898687
4,hypoxanthine,0.04695462145777832,67.83792536070729,-0.059957061023765613,0.29229914024660886,-0.7944341321316508,0.26678275645789346,0.5374635957357264,0.3721435347358859,0.31692759741970083,0.38373377891870936
5,succinate,0.30160775617226665,74.18363797487652,-0.5570722002172719,0.026246540442922447,0.09592323687719763,0.023955336991203037,-0.029387165831795032,0.1616833932421769,0.4905361291718773,0.15366286194264822
6,hydroxybutyrateBHBA,0.42893199416119354,67.1101391010827,-0.819275730971119,0.1110859392129461,-0.14762258868115108,0.10138864261434513,0.2228301806385278,0.32441123364629176,0.7440681390137551,0.28500672923412795
7,dihydroxyacetonephosphateDHAP,0.07557164554875052,66.97856772415568,-0.8275719818061852,0.1716825619346753,0.14058507841164256,0.15669545613457225,-0.10066581705064415,0.2729874445556581,0.7876527204451927,0.22469194264894063
8,fumarate,0.6804022041439624,68.56549207353393,0.21092915430013548,0.5161117073837506,-0.13405835146144848,0.4710575057451751,-0.03150188540794722,0.7724418187103695,-0.045368917430730495,0.641357146206259
9,isoleucine,0.04306893638228325,71.51525599230384,0.06771168651940877,0.06183906742494734,-0.6881185213649438,0.05644079845905182,0.5737296867082274,0.3055593155021839,0.04667714813730742,0.28532602064811946
10,leucine,0.03631979395684315,72.3794885781171,0.39472435980481735,0.009333415262503822,-0.5701837353167655,0.008518650615243553,0.44526521763205035,0.24155819960414263,-0.26980584212010644,0.24190207079074477
11,malate,0.4302284536931438,63.59654429127893,0.5992639604904203,0.48369445315455745,0.0017614026790062447,0.44147013017929443,-0.10731727848717787,0.7769128108023081,-0.493708084682244,0.6389931883177558
12,lactate,0.2370089562250795,67.3024966573684,0.49603318786021583,0.04633708613775513,0.6519138707326065,0.04229206954090782,-0.5431599691188668,0.26988200610562535,-0.6047870894739625,0.2554435961688888
13,valine,0.00701873773149647,66.54245266785215,0.17790240677332111,0.21630367537863482,-0.7630644437965346,0.19742134958316923,0.7355235270072984,0.4455027555037268,-0.1503614899840914,0.3719429706175831
14,glucose,0.24014663679372544,56.09710063253054,0.7092993314995725,0.004460886985055615,0.7321121278765887,0.004071471866513958,-0.5214893202994957,0.3785814811832866,-0.9199221390766769,0.38672301393792624
15,malonate,0.48556040899952657,69.45825950504846,0.19277895441659612,0.4525899590147656,0.22974473586732683,0.41308091672543007,-0.3590787877801846,0.6935352370958962,-0.0634449025037286,0.5733264462836493
16,pyruvate,0.8283070601053811,71.62727593960233,0.25321031513624215,0.3288920424819958,0.18072458049308393,0.30018126497527864,-0.16192613082677068,0.6444957319091073,-0.2720087648025514,0.5348017224532261
17,Nacetylleucine,0.0014855064917663565,54.22240243628184,-0.3458278703057333,0.2611042375871247,-0.9629334406920845,0.23831102673637775,0.9929979913263952,0.4516663541178848,0.3157633196714214,0.3711358269397183
18,citrate,0.09345649078499745,68.38568035299949,-0.3778034896034555,0.47327154006155336,0.4976294183843582,0.43195708993248866,-0.18330609802549414,0.6010586264452521,0.06348016924458251,0.5599238520758997
19,methylsuccinate,0.7167850730461619,68.26130064686,0.22211095380598686,0.20384766587229813,0.07369212049083956,0.18605269298102317,0.18245959003328258,0.7955862993827604,-0.4782626643301087,0.7254181809250005
20,ethylmalonate,0.5680320483396508,70.72020273823901,-0.38405987883322457,0.21561436344661436,-0.3981952382862448,0.1967922114436298,0.4661108951803519,0.5046778504690207,0.3161442219391289,0.4290745326017092
21,carnitine,0.7251888673161128,70.1295575216065,0.5053447410646851,0.024114878146329753,0.23336904891581514,0.022009759105333898,-0.01874641637319931,0.4269151418368052,-0.7199673736073088,0.4244295025023088
22,methyloxovalerate,0.8282818141802162,76.58174826325131,-0.12369310353088658,0.17598996618949878,-0.12128796997327866,0.16062684361423013,0.13297247385519428,0.31541330212718516,0.11200859964896863,0.2596127737422121
23,methyloxopentanoate,0.5659592170428773,77.41851202959278,-0.13102477345690366,0.11008616428440775,0.18638210188680368,0.10047614348400923,-0.09465355252301412,0.13895847112416218,0.03929622409311167,0.14044427087475164
24,alphahydroxyisocaproate,0.2851697818456329,75.16910485055462,0.35957415462680514,0.14714873186716587,-0.16528553513028063,0.13430331770283552,0.1996720733368698,0.23378461792714217,-0.39396069283340346,0.19243774799319532
25,acetylcarnitineC,0.48176728403203806,70.46165976560309,-0.2878538614533452,0.3034060147089946,-0.4338602435053049,0.27692005136135134,0.4138856113537271,0.5439920688257937,0.3078284936049352,0.4477645071931658
26,methyloxobutyrate,0.32008701169243825,71.07444030410355,-0.5593623523864872,0.3325929903561532,0.10782207302471251,0.30355913695444936,0.01390536179229455,0.48339673484973916,0.43763491756947887,0.40443657835538277
27,butyrylcarnitineC,0.581482976965626,74.00624855564645,0.04818764909830033,0.33801578118010867,0.1436496825869753,0.3085085428353179,-0.24698705381900243,0.5110097766478833,0.05514972213373485,0.4234259156273592
28,isobutyrylcarnitineC,0.6252459941571573,57.15643578066346,-0.9188209081698434,0.04942693342017354,-0.5727706657448662,0.04511218722699496,0.6687949485477005,0.1230661001553019,0.8227966253670198,0.13996223132946173
29,butyrylglycineC,0.039775263159418206,53.42750939059215,-0.42067504008072804,0.5844618333520123,-0.5245245336218839,0.5334409769886169,0.8313377393476119,0.7780760231146594,0.11386183435498858,0.6816484288606536
30,propionylcarnitineC,0.8082606948545077,63.758892375159974,-0.745224020789545,0.17843715499389656,-0.46809820068218827,0.16286040398070714,0.5091590249063951,0.3945941194727786,0.7041631965653532,0.33269140300838995
31,Nacetylisoleucine,0.005109566205025774,54.23459810731904,-0.4784927777584002,0.05923149033243297,-1.0018298518246647,0.05406085097158908,0.8858310377668367,0.3040563349643081,0.5944915918162352,0.28487472872355774
32,alphahydroxyisovalerate,0.8461022302051424,74.86135262268546,-0.05148457864737419,0.05852284670165904,0.0210511190711679,0.05341406870255915,0.26954481209985903,0.4549617996701889,-0.23911135252365576,0.48449275401256436
33,aconitatecisortrans,0.3433822064838624,71.25072880712808,-0.4019715241126884,0.3580632643291982,0.1638795878633537,0.32680597200341255,-0.09893157991932679,0.5904404547609929,0.33702351616865855,0.4850595128156337
34,isovalerylcarnitineC,0.17505994842467776,57.35920587943662,-0.7683592932683835,0.06425299395381755,-0.7469056223918772,0.058644000195175704,0.7903809207507896,0.08140001676500207,0.7248839949094795,0.07629018143153618
35,isovalerylglycine,0.010005530760815397,60.30168875238146,-0.23366209511703953,0.3502580354062524,-0.7879315731315066,0.3196821040197725,0.8322457449136312,0.6009071891220579,0.18934792333491046,0.49365732863437145
36,methylbutyrylcarnitineC,0.7374580392011836,66.52233696165426,-0.7218044822427824,0.05674110881176211,-0.4841993521555832,0.05178786841626635,0.4899725177525777,0.11477518330395539,0.716031316645799,0.09560305523986036
37,malonylcarnitine,0.25623472503791195,72.49466439605195,0.23306023484597146,0.27301074558065197,-0.29363097975120334,0.2491781508053067,0.3150949455781755,0.543249682299167,-0.2545242006729412,0.4515955254727335
38,hydroxymethylvalerate,0.4034196892556765,74.1537763421092,-0.11497930445423458,0.2500114545889468,-0.31716556526642514,0.2281865931764762,0.33653427344037135,0.4444817877981652,0.09561059628028323,0.365672735550688
39,betahydroxyisovaleroylcarnitine,0.2042612144469692,67.14850623738708,-0.1744938106474951,0.10618939830412255,-0.36310854006123344,0.09691954742760364,0.7646684507250993,0.6000092983719666,-0.22706610001637376,0.6487078615956497
40,tiglylcarnitineC,0.16967809509881665,56.942585890561595,-0.7094412613057113,0.08865694978018056,-0.7668086137451616,0.08091760181555993,0.8465582061479836,0.29185618745741265,0.6296916689029001,0.26064405020129994
41,deoxycarnitine,0.42808945596504333,69.49357721063092,-0.11967553911070627,0.12012334710501839,-0.16131424712062714,0.10963712595455335,0.5852148029945731,0.6248027109538845,-0.3042250167632439,0.6785665593188525
42,succinylcarnitineCDC,0.22033863437870518,72.25119015622427,0.33518387368225305,0.013640821677667461,-0.15315014355135115,0.01245004006665369,0.38021047559411736,0.39609301987373124,-0.5622442057250262,0.40809540513843157
43,hydroxyglutarate,0.6972346923914285,70.79544354629985,-0.3387127737237598,0.07348178682631652,-0.21730926425121067,0.06706716147860267,0.49867626134240844,0.6237309425195272,0.05734577663256476,0.6043407414816631
44,methylglutaconate,0.07451661121334065,62.94442917112764,-0.5150610504544839,0.22726821495713798,-0.7037750066316013,0.20742873478990237,0.8877619387194254,0.2860851127262699,0.3310741183666617,0.2860130203730581
45,hydroxybutyratehydroxyisobutyrate,0.11439565678689724,64.3829826214859,-0.5119301239831852,0.2723254687835496,-0.6396174586203318,0.2485526955517833,0.8080668740010631,0.3499005567937216,0.34348070860245294,0.3189866524593923
46,dihydroxymethylbutyrate,0.015257042620613833,63.16516275547715,0.43333076469869986,0.49518558801426005,-0.6612162257583774,0.45195814129733747,0.4129726103779107,0.6666053330727926,-0.1850871493182238,0.5789215668570588
